Start (s),End (s),Scientific name,Common name,Confidence,File
33.0,36.0,Streptopelia chinensis,Spotted Dove,0.7895,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
36.0,39.0,Streptopelia chinensis,Spotted Dove,0.7328,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
48.0,51.0,Streptopelia chinensis,Spotted Dove,0.9075,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
63.0,66.0,Streptopelia chinensis,Spotted Dove,0.9100,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
72.0,75.0,Streptopelia chinensis,Spotted Dove,0.9232,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
87.0,90.0,Streptopelia chinensis,Spotted Dove,0.9714,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
96.0,99.0,Streptopelia chinensis,Spotted Dove,0.8850,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
99.0,102.0,Streptopelia chinensis,Spotted Dove,0.8878,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
108.0,111.0,Streptopelia chinensis,Spotted Dove,0.7221,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
279.0,282.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7127,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
288.0,291.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7236,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
294.0,297.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7721,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260216_073000.wav
