Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Gallus sonneratii,Gray Junglefowl,0.9645,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
24.0,27.0,Gallus sonneratii,Gray Junglefowl,0.9826,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
39.0,42.0,Gallus sonneratii,Gray Junglefowl,0.9791,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
57.0,60.0,Pycnonotus cafer,Red-vented Bulbul,0.7197,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
63.0,66.0,Gallus sonneratii,Gray Junglefowl,0.8719,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
75.0,78.0,Gallus sonneratii,Gray Junglefowl,0.7984,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
153.0,156.0,Pycnonotus cafer,Red-vented Bulbul,0.7006,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
186.0,189.0,Gallus sonneratii,Gray Junglefowl,0.8807,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
270.0,273.0,Gallus sonneratii,Gray Junglefowl,0.8476,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
297.0,300.0,Gallus sonneratii,Gray Junglefowl,0.9952,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260219_084500.wav
