Start (s),End (s),Scientific name,Common name,Confidence,File
12.0,15.0,Gallus sonneratii,Gray Junglefowl,0.9754,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
15.0,18.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7411,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
21.0,24.0,Gallus sonneratii,Gray Junglefowl,0.9823,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
24.0,27.0,Gallus sonneratii,Gray Junglefowl,0.9985,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
27.0,30.0,Gallus sonneratii,Gray Junglefowl,0.9359,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
30.0,33.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7057,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
42.0,45.0,Gallus sonneratii,Gray Junglefowl,0.9053,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
54.0,57.0,Acrocephalus dumetorum,Blyth's Reed Warbler,0.7429,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
63.0,66.0,Gallus sonneratii,Gray Junglefowl,0.9972,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
75.0,78.0,Gallus sonneratii,Gray Junglefowl,0.9354,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
78.0,81.0,Gallus sonneratii,Gray Junglefowl,0.9802,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
93.0,96.0,Gallus sonneratii,Gray Junglefowl,0.9690,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
96.0,99.0,Gallus sonneratii,Gray Junglefowl,0.9210,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
108.0,111.0,Gallus sonneratii,Gray Junglefowl,0.9768,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
111.0,114.0,Gallus sonneratii,Gray Junglefowl,0.9952,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
123.0,126.0,Gallus sonneratii,Gray Junglefowl,0.9865,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
129.0,132.0,Gallus sonneratii,Gray Junglefowl,0.9599,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
138.0,141.0,Pycnonotus luteolus,White-browed Bulbul,0.7258,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
141.0,144.0,Pycnonotus luteolus,White-browed Bulbul,0.7903,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
144.0,147.0,Pycnonotus luteolus,White-browed Bulbul,0.9975,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
153.0,156.0,Gallus sonneratii,Gray Junglefowl,0.9666,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
156.0,159.0,Gallus sonneratii,Gray Junglefowl,0.9960,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
159.0,162.0,Gallus sonneratii,Gray Junglefowl,0.9759,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
177.0,180.0,Gallus sonneratii,Gray Junglefowl,0.9987,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
183.0,186.0,Gallus sonneratii,Gray Junglefowl,0.9918,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
192.0,195.0,Gallus sonneratii,Gray Junglefowl,0.9992,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
207.0,210.0,Gallus sonneratii,Gray Junglefowl,0.9979,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
240.0,243.0,Gallus sonneratii,Gray Junglefowl,0.7063,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
276.0,279.0,Gallus sonneratii,Gray Junglefowl,0.9982,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
294.0,297.0,Gallus sonneratii,Gray Junglefowl,0.9911,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
297.0,300.0,Gallus sonneratii,Gray Junglefowl,0.9259,D:\TST_DATA\STR_01\CS\CS_01\rec_3\Data\TST-3_20260220_063000.wav
