Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Gallus sonneratii,Gray Junglefowl,0.9602,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
18.0,21.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9224,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
27.0,30.0,Gallus sonneratii,Gray Junglefowl,0.9830,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
30.0,33.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7458,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
39.0,42.0,Gallus sonneratii,Gray Junglefowl,0.9965,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
42.0,45.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9131,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
45.0,48.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8304,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
45.0,48.0,Gallus sonneratii,Gray Junglefowl,0.7655,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
48.0,51.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7886,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
51.0,54.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7604,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
54.0,57.0,Gallus sonneratii,Gray Junglefowl,0.9286,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
57.0,60.0,Gallus sonneratii,Gray Junglefowl,0.9164,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
60.0,63.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8485,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
63.0,66.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9758,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
69.0,72.0,Gallus sonneratii,Gray Junglefowl,0.9957,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
72.0,75.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8685,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
81.0,84.0,Gallus sonneratii,Gray Junglefowl,0.9776,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
90.0,93.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9432,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
93.0,96.0,Gallus sonneratii,Gray Junglefowl,0.9772,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
132.0,135.0,Gallus sonneratii,Gray Junglefowl,0.8082,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
150.0,153.0,Psittacula columboides,Malabar Parakeet,0.7940,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
153.0,156.0,Psilopogon viridis,White-cheeked Barbet,0.9066,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
168.0,171.0,Gallus sonneratii,Gray Junglefowl,0.8082,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
183.0,186.0,Gallus sonneratii,Gray Junglefowl,0.9487,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
198.0,201.0,Gallus sonneratii,Gray Junglefowl,0.9609,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
198.0,201.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8716,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
210.0,213.0,Gallus sonneratii,Gray Junglefowl,0.9551,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
210.0,213.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8493,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
240.0,243.0,Psilopogon viridis,White-cheeked Barbet,0.9341,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
246.0,249.0,Gallus sonneratii,Gray Junglefowl,0.9018,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
252.0,255.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8942,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_03\TST-9_20260405_061500.wav
