Start (s),End (s),Scientific name,Common name,Confidence,File
177.0,180.0,Pycnonotus luteolus,White-browed Bulbul,0.9923,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
180.0,183.0,Pycnonotus luteolus,White-browed Bulbul,0.8619,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
228.0,231.0,Pycnonotus luteolus,White-browed Bulbul,0.9677,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
240.0,243.0,Pycnonotus luteolus,White-browed Bulbul,0.9894,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
252.0,255.0,Pycnonotus luteolus,White-browed Bulbul,0.9778,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
270.0,273.0,Pycnonotus luteolus,White-browed Bulbul,0.9370,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
285.0,288.0,Pycnonotus luteolus,White-browed Bulbul,0.9117,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
288.0,291.0,Pycnonotus luteolus,White-browed Bulbul,0.9328,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_070000.wav
