Start (s),End (s),Scientific name,Common name,Confidence,File
231.0,234.0,Psilopogon viridis,White-cheeked Barbet,0.8062,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
237.0,240.0,Psilopogon viridis,White-cheeked Barbet,0.8608,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
240.0,243.0,Psilopogon viridis,White-cheeked Barbet,0.8553,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
267.0,270.0,Psilopogon viridis,White-cheeked Barbet,0.7943,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
270.0,273.0,Psilopogon viridis,White-cheeked Barbet,0.7386,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
273.0,276.0,Psilopogon viridis,White-cheeked Barbet,0.8952,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
276.0,279.0,Psilopogon viridis,White-cheeked Barbet,0.9365,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
279.0,282.0,Psilopogon viridis,White-cheeked Barbet,0.8785,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
282.0,285.0,Psilopogon viridis,White-cheeked Barbet,0.7226,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
288.0,291.0,Psilopogon viridis,White-cheeked Barbet,0.7324,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260213_170000.wav
