Start (s),End (s),Scientific name,Common name,Confidence,File
33.0,36.0,Oriolus xanthornus,Black-hooded Oriole,0.9507,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_164500.wav
99.0,102.0,Dicaeum erythrorhynchos,Pale-billed Flowerpecker,0.8657,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_164500.wav
150.0,153.0,Pycnonotus luteolus,White-browed Bulbul,0.8043,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_164500.wav
192.0,195.0,Oriolus xanthornus,Black-hooded Oriole,0.9694,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_164500.wav
234.0,237.0,Oriolus xanthornus,Black-hooded Oriole,0.9262,D:\TST_DATA\ATR_01\LNC\LNC_01\Data\TST-9_20260218_164500.wav
