Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Psilopogon viridis,White-cheeked Barbet,0.8814,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
12.0,15.0,Psilopogon viridis,White-cheeked Barbet,0.9587,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
15.0,18.0,Psilopogon viridis,White-cheeked Barbet,0.8470,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
18.0,21.0,Psilopogon viridis,White-cheeked Barbet,0.8816,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
21.0,24.0,Psilopogon viridis,White-cheeked Barbet,0.8435,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
24.0,27.0,Psilopogon viridis,White-cheeked Barbet,0.8662,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
27.0,30.0,Psilopogon viridis,White-cheeked Barbet,0.8241,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
228.0,231.0,Dicaeum concolor,Nilgiri Flowerpecker,0.8694,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_05\TST-6_20260326_060000.wav
