Start (s),End (s),Scientific name,Common name,Confidence,File
198.0,201.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8019,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260212_160000.wav
216.0,219.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8937,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260212_160000.wav
231.0,234.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7435,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260212_160000.wav
282.0,285.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8308,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260212_160000.wav
