Start (s),End (s),Scientific name,Common name,Confidence,File
54.0,57.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7808,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
75.0,78.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7154,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
87.0,90.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9543,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
90.0,93.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9669,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
93.0,96.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7390,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
99.0,102.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8602,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
111.0,114.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7231,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
135.0,138.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9207,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
138.0,141.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8288,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
147.0,150.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8056,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
153.0,156.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9534,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
156.0,159.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7076,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
162.0,165.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8708,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
174.0,177.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8529,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
180.0,183.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8806,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
189.0,192.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9539,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
192.0,195.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9368,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
198.0,201.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9321,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
201.0,204.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7072,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
207.0,210.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8910,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
210.0,213.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8676,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
213.0,216.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7877,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
228.0,231.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8241,D:\TST_DATA\STR_01\STR\LC_04\rec_8\Data\TST-8_20260221_180000.wav
