Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Psilopogon viridis,White-cheeked Barbet,0.7119,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
9.0,12.0,Psilopogon viridis,White-cheeked Barbet,0.8910,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
12.0,15.0,Psilopogon viridis,White-cheeked Barbet,0.9540,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
15.0,18.0,Psilopogon viridis,White-cheeked Barbet,0.8786,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
18.0,21.0,Psilopogon viridis,White-cheeked Barbet,0.7250,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
24.0,27.0,Psilopogon viridis,White-cheeked Barbet,0.9070,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
27.0,30.0,Psilopogon viridis,White-cheeked Barbet,0.8615,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
30.0,33.0,Psilopogon viridis,White-cheeked Barbet,0.9073,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
33.0,36.0,Psilopogon viridis,White-cheeked Barbet,0.9102,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
36.0,39.0,Psilopogon viridis,White-cheeked Barbet,0.8646,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
177.0,180.0,Psilopogon viridis,White-cheeked Barbet,0.9982,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.9962,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
183.0,186.0,Psilopogon viridis,White-cheeked Barbet,0.9946,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
186.0,189.0,Psilopogon viridis,White-cheeked Barbet,0.9985,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
189.0,192.0,Psilopogon viridis,White-cheeked Barbet,0.9951,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
192.0,195.0,Psilopogon viridis,White-cheeked Barbet,0.9797,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
195.0,198.0,Psilopogon viridis,White-cheeked Barbet,0.8336,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260402_070000.wav
