Start (s),End (s),Scientific name,Common name,Confidence,File
27.0,30.0,Psilopogon viridis,White-cheeked Barbet,0.7879,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260331_063000.wav
171.0,174.0,Psittacula cyanocephala,Plum-headed Parakeet,0.9192,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260331_063000.wav
192.0,195.0,Psilopogon viridis,White-cheeked Barbet,0.7860,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260331_063000.wav
195.0,198.0,Psilopogon viridis,White-cheeked Barbet,0.8252,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260331_063000.wav
261.0,264.0,Pericrocotus flammeus,Orange Minivet,0.7432,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260331_063000.wav
