Start (s),End (s),Scientific name,Common name,Confidence,File
105.0,108.0,Psilopogon viridis,White-cheeked Barbet,0.7108,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
108.0,111.0,Psilopogon viridis,White-cheeked Barbet,0.9994,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
111.0,114.0,Psilopogon viridis,White-cheeked Barbet,0.9996,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
114.0,117.0,Psilopogon viridis,White-cheeked Barbet,0.9991,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
117.0,120.0,Psilopogon viridis,White-cheeked Barbet,0.9996,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
120.0,123.0,Psilopogon viridis,White-cheeked Barbet,0.9987,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
123.0,126.0,Psilopogon viridis,White-cheeked Barbet,0.9993,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
126.0,129.0,Psilopogon viridis,White-cheeked Barbet,0.9971,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
129.0,132.0,Psilopogon viridis,White-cheeked Barbet,0.9960,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
183.0,186.0,Psittacula cyanocephala,Plum-headed Parakeet,0.8056,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
192.0,195.0,Psittacula cyanocephala,Plum-headed Parakeet,0.8194,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
198.0,201.0,Psittacula cyanocephala,Plum-headed Parakeet,0.9052,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
228.0,231.0,Psittacula cyanocephala,Plum-headed Parakeet,0.9277,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
231.0,234.0,Psittacula cyanocephala,Plum-headed Parakeet,0.9925,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
234.0,237.0,Psittacula cyanocephala,Plum-headed Parakeet,0.7927,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
276.0,279.0,Psittacula cyanocephala,Plum-headed Parakeet,0.9186,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
279.0,282.0,Psittacula cyanocephala,Plum-headed Parakeet,0.8786,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
282.0,285.0,Psittacula cyanocephala,Plum-headed Parakeet,0.9821,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
285.0,288.0,Psittacula cyanocephala,Plum-headed Parakeet,0.8494,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_03\TST-1_20260326_070000.wav
