Start (s),End (s),Scientific name,Common name,Confidence,File
57.0,60.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8023,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
63.0,66.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8808,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
78.0,81.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7372,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
99.0,102.0,Hypothymis azurea,Black-naped Monarch,0.7123,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
105.0,108.0,Hypothymis azurea,Black-naped Monarch,0.9123,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
108.0,111.0,Hypothymis azurea,Black-naped Monarch,0.7874,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
111.0,114.0,Hypothymis azurea,Black-naped Monarch,0.8229,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
114.0,117.0,Hypothymis azurea,Black-naped Monarch,0.8823,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
123.0,126.0,Hypothymis azurea,Black-naped Monarch,0.7836,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
126.0,129.0,Hypothymis azurea,Black-naped Monarch,0.7011,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
141.0,144.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8117,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
150.0,153.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8253,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
156.0,159.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.9149,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
192.0,195.0,Psilopogon viridis,White-cheeked Barbet,0.8882,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260401_171500.wav
