Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Psilopogon viridis,White-cheeked Barbet,0.8956,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
6.0,9.0,Psilopogon viridis,White-cheeked Barbet,0.7010,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
12.0,15.0,Psilopogon viridis,White-cheeked Barbet,0.7015,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
15.0,18.0,Psilopogon viridis,White-cheeked Barbet,0.7188,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
18.0,21.0,Psilopogon viridis,White-cheeked Barbet,0.7251,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
24.0,27.0,Psilopogon viridis,White-cheeked Barbet,0.8481,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
27.0,30.0,Psilopogon viridis,White-cheeked Barbet,0.8410,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
33.0,36.0,Psilopogon viridis,White-cheeked Barbet,0.9465,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
36.0,39.0,Psilopogon viridis,White-cheeked Barbet,0.7103,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
39.0,42.0,Psilopogon viridis,White-cheeked Barbet,0.8909,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
42.0,45.0,Psilopogon viridis,White-cheeked Barbet,0.9176,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
45.0,48.0,Psilopogon viridis,White-cheeked Barbet,0.8352,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
48.0,51.0,Psilopogon viridis,White-cheeked Barbet,0.8209,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
51.0,54.0,Psilopogon viridis,White-cheeked Barbet,0.8244,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
54.0,57.0,Psilopogon viridis,White-cheeked Barbet,0.8290,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
63.0,66.0,Psilopogon viridis,White-cheeked Barbet,0.9182,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
66.0,69.0,Psilopogon viridis,White-cheeked Barbet,0.7030,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
75.0,78.0,Psilopogon viridis,White-cheeked Barbet,0.7627,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
81.0,84.0,Psilopogon viridis,White-cheeked Barbet,0.9515,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
84.0,87.0,Psilopogon viridis,White-cheeked Barbet,0.7697,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
87.0,90.0,Psilopogon viridis,White-cheeked Barbet,0.7910,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
93.0,96.0,Psilopogon viridis,White-cheeked Barbet,0.7214,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
96.0,99.0,Psilopogon viridis,White-cheeked Barbet,0.8709,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260402_173000.wav
