Start (s),End (s),Scientific name,Common name,Confidence,File
27.0,30.0,Zosterops palpebrosus,Indian White-eye,0.8118,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260405_181500.wav
45.0,48.0,Zosterops palpebrosus,Indian White-eye,0.8716,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260405_181500.wav
78.0,81.0,Zosterops palpebrosus,Indian White-eye,0.7817,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260405_181500.wav
123.0,126.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7397,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260405_181500.wav
162.0,165.0,Dendrocitta vagabunda,Rufous Treepie,0.7590,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260405_181500.wav
