Start (s),End (s),Scientific name,Common name,Confidence,File
48.0,51.0,Psilopogon viridis,White-cheeked Barbet,0.8618,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
264.0,267.0,Psilopogon viridis,White-cheeked Barbet,0.9007,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
267.0,270.0,Psilopogon viridis,White-cheeked Barbet,0.9929,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
270.0,273.0,Psilopogon viridis,White-cheeked Barbet,0.9791,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
273.0,276.0,Psilopogon viridis,White-cheeked Barbet,0.9970,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
276.0,279.0,Psilopogon viridis,White-cheeked Barbet,0.9693,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
279.0,282.0,Psilopogon viridis,White-cheeked Barbet,0.9725,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
282.0,285.0,Psilopogon viridis,White-cheeked Barbet,0.9125,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260327_173000.wav
