Start (s),End (s),Scientific name,Common name,Confidence,File
171.0,174.0,Gallus sonneratii,Gray Junglefowl,0.8547,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
192.0,195.0,Hypothymis azurea,Black-naped Monarch,0.8243,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
195.0,198.0,Hypothymis azurea,Black-naped Monarch,0.7953,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
198.0,201.0,Hypothymis azurea,Black-naped Monarch,0.8960,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
201.0,204.0,Hypothymis azurea,Black-naped Monarch,0.9513,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
207.0,210.0,Hypothymis azurea,Black-naped Monarch,0.7709,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
210.0,213.0,Hypothymis azurea,Black-naped Monarch,0.9547,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
216.0,219.0,Hypothymis azurea,Black-naped Monarch,0.8947,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
222.0,225.0,Hypothymis azurea,Black-naped Monarch,0.8550,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
228.0,231.0,Hypothymis azurea,Black-naped Monarch,0.8843,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
267.0,270.0,Gallus sonneratii,Gray Junglefowl,0.8906,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
276.0,279.0,Gallus sonneratii,Gray Junglefowl,0.9429,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
294.0,297.0,Gallus sonneratii,Gray Junglefowl,0.7817,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_04\TST-10_20260403_183000.wav
