Start (s),End (s),Scientific name,Common name,Confidence,File
81.0,84.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8167,D:\TST_DATA\STR_01\STR\LC_03\rec_7\Data\TST-7_20260212_071500.wav
120.0,123.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7959,D:\TST_DATA\STR_01\STR\LC_03\rec_7\Data\TST-7_20260212_071500.wav
132.0,135.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8102,D:\TST_DATA\STR_01\STR\LC_03\rec_7\Data\TST-7_20260212_071500.wav
138.0,141.0,Phylloscopus trochiloides,Greenish Warbler,0.7192,D:\TST_DATA\STR_01\STR\LC_03\rec_7\Data\TST-7_20260212_071500.wav
144.0,147.0,Phylloscopus trochiloides,Greenish Warbler,0.9141,D:\TST_DATA\STR_01\STR\LC_03\rec_7\Data\TST-7_20260212_071500.wav
