Start (s),End (s),Scientific name,Common name,Confidence,File
132.0,135.0,Glaucidium radiatum,Jungle Owlet,0.8489,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
207.0,210.0,Hierococcyx varius,Common Hawk-Cuckoo,0.7388,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
210.0,213.0,Hierococcyx varius,Common Hawk-Cuckoo,0.9691,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
222.0,225.0,Hierococcyx varius,Common Hawk-Cuckoo,0.9147,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
249.0,252.0,Hierococcyx varius,Common Hawk-Cuckoo,0.8976,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
252.0,255.0,Hierococcyx varius,Common Hawk-Cuckoo,0.7478,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
258.0,261.0,Hierococcyx varius,Common Hawk-Cuckoo,0.9343,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
276.0,279.0,Hierococcyx varius,Common Hawk-Cuckoo,0.7541,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
279.0,282.0,Hierococcyx varius,Common Hawk-Cuckoo,0.8403,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
282.0,285.0,Hierococcyx varius,Common Hawk-Cuckoo,0.7932,D:\TST_DATA\ATR_01\LNC\LNC_03\Data\TST-13_20260218_061500.wav
