Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Pellorneum ruficeps,Puff-throated Babbler,0.9634,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
30.0,33.0,Rubigula gularis,Flame-throated Bulbul,0.7614,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
45.0,48.0,Rubigula gularis,Flame-throated Bulbul,0.7013,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
51.0,54.0,Rubigula gularis,Flame-throated Bulbul,0.7076,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
75.0,78.0,Rubigula gularis,Flame-throated Bulbul,0.8152,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
93.0,96.0,Rubigula gularis,Flame-throated Bulbul,0.8631,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
108.0,111.0,Rubigula gularis,Flame-throated Bulbul,0.7437,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
129.0,132.0,Rubigula gularis,Flame-throated Bulbul,0.8234,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
219.0,222.0,Rubigula gularis,Flame-throated Bulbul,0.7106,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260223_084500.wav
