Start (s),End (s),Scientific name,Common name,Confidence,File
162.0,165.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7746,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260218_071500.wav
168.0,171.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8098,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260218_071500.wav
183.0,186.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8188,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260218_071500.wav
231.0,234.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7596,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260218_071500.wav
264.0,267.0,Gracula indica,Southern Hill Myna,0.7559,D:\TST_DATA\ATR_01\LNC\LNC_04\Data\TST-14_20260218_071500.wav
