Start (s),End (s),Scientific name,Common name,Confidence,File
192.0,195.0,Glaucidium radiatum,Jungle Owlet,0.9606,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260403_183000.wav
195.0,198.0,Glaucidium radiatum,Jungle Owlet,0.7002,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260403_183000.wav
237.0,240.0,Glaucidium radiatum,Jungle Owlet,0.8214,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260403_183000.wav
240.0,243.0,Glaucidium radiatum,Jungle Owlet,0.8579,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_01\TST-4_20260403_183000.wav
