Start (s),End (s),Scientific name,Common name,Confidence,File
48.0,51.0,Caprimulgus asiaticus,Indian Nightjar,0.9974,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
51.0,54.0,Caprimulgus asiaticus,Indian Nightjar,0.9946,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
54.0,57.0,Pavo cristatus,Indian Peafowl,0.8639,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
60.0,63.0,Caprimulgus asiaticus,Indian Nightjar,0.9274,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
63.0,66.0,Caprimulgus asiaticus,Indian Nightjar,0.9886,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
66.0,69.0,Caprimulgus asiaticus,Indian Nightjar,0.9846,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
69.0,72.0,Caprimulgus asiaticus,Indian Nightjar,0.8212,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
72.0,75.0,Caprimulgus asiaticus,Indian Nightjar,0.9868,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
78.0,81.0,Caprimulgus asiaticus,Indian Nightjar,0.8097,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
87.0,90.0,Caprimulgus asiaticus,Indian Nightjar,0.9406,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
93.0,96.0,Caprimulgus asiaticus,Indian Nightjar,0.9250,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
96.0,99.0,Caprimulgus asiaticus,Indian Nightjar,0.9971,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
105.0,108.0,Caprimulgus asiaticus,Indian Nightjar,0.9914,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
111.0,114.0,Caprimulgus asiaticus,Indian Nightjar,0.8922,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
117.0,120.0,Caprimulgus asiaticus,Indian Nightjar,0.9544,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
123.0,126.0,Caprimulgus asiaticus,Indian Nightjar,0.9503,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
156.0,159.0,Pavo cristatus,Indian Peafowl,0.8608,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
165.0,168.0,Caprimulgus asiaticus,Indian Nightjar,0.9964,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260216_184500.wav
