Start (s),End (s),Scientific name,Common name,Confidence,File
9.0,12.0,Gallus sonneratii,Gray Junglefowl,0.9988,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
21.0,24.0,Gallus sonneratii,Gray Junglefowl,0.9980,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
36.0,39.0,Gallus sonneratii,Gray Junglefowl,0.9992,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
51.0,54.0,Gallus sonneratii,Gray Junglefowl,0.9987,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
78.0,81.0,Gallus sonneratii,Gray Junglefowl,0.7966,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
81.0,84.0,Gallus sonneratii,Gray Junglefowl,0.9974,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
99.0,102.0,Gallus sonneratii,Gray Junglefowl,0.9969,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
111.0,114.0,Gallus sonneratii,Gray Junglefowl,0.9868,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
114.0,117.0,Gallus sonneratii,Gray Junglefowl,0.9739,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260219_070000.wav
