Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Gallus sonneratii,Gray Junglefowl,0.8541,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
12.0,15.0,Gallus sonneratii,Gray Junglefowl,0.9356,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
30.0,33.0,Gallus sonneratii,Gray Junglefowl,0.8900,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
45.0,48.0,Gallus sonneratii,Gray Junglefowl,0.7813,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
69.0,72.0,Gallus sonneratii,Gray Junglefowl,0.7495,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
84.0,87.0,Gallus sonneratii,Gray Junglefowl,0.8144,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
93.0,96.0,Streptopelia senegalensis,Laughing Dove,0.7972,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
99.0,102.0,Streptopelia senegalensis,Laughing Dove,0.8853,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
111.0,114.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8696,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
138.0,141.0,Gallus sonneratii,Gray Junglefowl,0.8100,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
168.0,171.0,Pycnonotus luteolus,White-browed Bulbul,0.9789,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
198.0,201.0,Streptopelia senegalensis,Laughing Dove,0.7569,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
225.0,228.0,Gallus sonneratii,Gray Junglefowl,0.7178,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
234.0,237.0,Streptopelia senegalensis,Laughing Dove,0.8762,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
240.0,243.0,Streptopelia senegalensis,Laughing Dove,0.7032,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
243.0,246.0,Gallus sonneratii,Gray Junglefowl,0.7454,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
249.0,252.0,Streptopelia senegalensis,Laughing Dove,0.7416,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
264.0,267.0,Gallus sonneratii,Gray Junglefowl,0.8197,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
285.0,288.0,Gallus sonneratii,Gray Junglefowl,0.9295,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
294.0,297.0,Gallus sonneratii,Gray Junglefowl,0.7757,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260220_064500.wav
