Start (s),End (s),Scientific name,Common name,Confidence,File
42.0,45.0,Psilopogon haemacephalus,Coppersmith Barbet,0.7150,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
66.0,69.0,Leptocoma zeylonica,Purple-rumped Sunbird,0.7131,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
153.0,156.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7165,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
252.0,255.0,Psilopogon haemacephalus,Coppersmith Barbet,0.7457,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
255.0,258.0,Psilopogon haemacephalus,Coppersmith Barbet,0.8310,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
258.0,261.0,Psilopogon haemacephalus,Coppersmith Barbet,0.7408,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
270.0,273.0,Psilopogon haemacephalus,Coppersmith Barbet,0.8715,D:\TST_DATA\STR_01\STR\LC_02\rec_5\Data\TST-5_20260212_183000.wav
