Start (s),End (s),Scientific name,Common name,Confidence,File
42.0,45.0,Turdus simillimus,Indian Blackbird,0.9753,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
51.0,54.0,Turdus simillimus,Indian Blackbird,0.7707,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
84.0,87.0,Turdus simillimus,Indian Blackbird,0.8988,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
96.0,99.0,Turdus simillimus,Indian Blackbird,0.7995,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
132.0,135.0,Psilopogon viridis,White-cheeked Barbet,0.7217,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
144.0,147.0,Turdus simillimus,Indian Blackbird,0.8073,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
147.0,150.0,Turdus simillimus,Indian Blackbird,0.7224,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
216.0,219.0,Psilopogon viridis,White-cheeked Barbet,0.7153,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
222.0,225.0,Psilopogon viridis,White-cheeked Barbet,0.9310,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
228.0,231.0,Psilopogon viridis,White-cheeked Barbet,0.7561,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_161500.wav
