Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Gallus sonneratii,Gray Junglefowl,0.8066,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
18.0,21.0,Gallus sonneratii,Gray Junglefowl,0.9578,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
21.0,24.0,Gallus sonneratii,Gray Junglefowl,0.9751,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
30.0,33.0,Gallus sonneratii,Gray Junglefowl,0.8797,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
39.0,42.0,Gallus sonneratii,Gray Junglefowl,0.9850,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
42.0,45.0,Gallus sonneratii,Gray Junglefowl,0.9476,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
54.0,57.0,Gallus sonneratii,Gray Junglefowl,0.9341,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
69.0,72.0,Gallus sonneratii,Gray Junglefowl,0.9855,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
75.0,78.0,Gallus sonneratii,Gray Junglefowl,0.7323,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
78.0,81.0,Gallus sonneratii,Gray Junglefowl,0.9819,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
84.0,87.0,Gallus sonneratii,Gray Junglefowl,0.7317,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
90.0,93.0,Gallus sonneratii,Gray Junglefowl,0.9432,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
105.0,108.0,Gallus sonneratii,Gray Junglefowl,0.9200,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
108.0,111.0,Gallus sonneratii,Gray Junglefowl,0.9793,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
111.0,114.0,Psilopogon viridis,White-cheeked Barbet,0.7900,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
117.0,120.0,Psilopogon viridis,White-cheeked Barbet,0.7935,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
120.0,123.0,Psilopogon viridis,White-cheeked Barbet,0.9392,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
126.0,129.0,Gallus sonneratii,Gray Junglefowl,0.9485,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
144.0,147.0,Psilopogon viridis,White-cheeked Barbet,0.7042,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
150.0,153.0,Gallus sonneratii,Gray Junglefowl,0.9927,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
156.0,159.0,Psilopogon viridis,White-cheeked Barbet,0.8911,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
159.0,162.0,Psilopogon viridis,White-cheeked Barbet,0.7585,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
162.0,165.0,Psilopogon viridis,White-cheeked Barbet,0.8457,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260402_184500.wav
