Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Gallus sonneratii,Gray Junglefowl,0.7342,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
33.0,36.0,Parus cinereus,Cinereous Tit,0.7189,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
42.0,45.0,Gallus sonneratii,Gray Junglefowl,0.8786,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
45.0,48.0,Parus cinereus,Cinereous Tit,0.7231,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
57.0,60.0,Cinnyris asiaticus,Purple Sunbird,0.8235,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
69.0,72.0,Parus cinereus,Cinereous Tit,0.8658,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
69.0,72.0,Gallus sonneratii,Gray Junglefowl,0.7050,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
78.0,81.0,Gallus sonneratii,Gray Junglefowl,0.8271,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
108.0,111.0,Psilopogon viridis,White-cheeked Barbet,0.8860,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
111.0,114.0,Psilopogon viridis,White-cheeked Barbet,0.9990,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
114.0,117.0,Psilopogon viridis,White-cheeked Barbet,0.9989,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
117.0,120.0,Psilopogon viridis,White-cheeked Barbet,0.9969,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
120.0,123.0,Psilopogon viridis,White-cheeked Barbet,0.9763,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
123.0,126.0,Psilopogon viridis,White-cheeked Barbet,0.9979,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
126.0,129.0,Psilopogon viridis,White-cheeked Barbet,0.9966,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
129.0,132.0,Psilopogon viridis,White-cheeked Barbet,0.9905,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
132.0,135.0,Psilopogon viridis,White-cheeked Barbet,0.9156,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
135.0,138.0,Psilopogon viridis,White-cheeked Barbet,0.8700,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
141.0,144.0,Psilopogon viridis,White-cheeked Barbet,0.7158,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
147.0,150.0,Psilopogon viridis,White-cheeked Barbet,0.7579,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
156.0,159.0,Psilopogon viridis,White-cheeked Barbet,0.7082,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
165.0,168.0,Gallus sonneratii,Gray Junglefowl,0.7130,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
174.0,177.0,Gallus sonneratii,Gray Junglefowl,0.7238,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
198.0,201.0,Gallus sonneratii,Gray Junglefowl,0.7624,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
213.0,216.0,Parus cinereus,Cinereous Tit,0.7258,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
231.0,234.0,Psilopogon viridis,White-cheeked Barbet,0.7630,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
237.0,240.0,Parus cinereus,Cinereous Tit,0.8512,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
240.0,243.0,Psilopogon viridis,White-cheeked Barbet,0.9146,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
246.0,249.0,Gallus sonneratii,Gray Junglefowl,0.8313,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
249.0,252.0,Psilopogon viridis,White-cheeked Barbet,0.8189,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_073000.wav
