Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Gallus sonneratii,Gray Junglefowl,0.8374,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
24.0,27.0,Psittacula cyanocephala,Plum-headed Parakeet,0.8989,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
105.0,108.0,Gallus sonneratii,Gray Junglefowl,0.9799,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
147.0,150.0,Orthotomus sutorius,Common Tailorbird,0.8532,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
150.0,153.0,Gallus sonneratii,Gray Junglefowl,0.8598,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
150.0,153.0,Orthotomus sutorius,Common Tailorbird,0.7389,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
153.0,156.0,Orthotomus sutorius,Common Tailorbird,0.7817,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
159.0,162.0,Orthotomus sutorius,Common Tailorbird,0.7141,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_171500.wav
