Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Psilopogon viridis,White-cheeked Barbet,0.8010,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
9.0,12.0,Psilopogon viridis,White-cheeked Barbet,0.8584,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
15.0,18.0,Psilopogon viridis,White-cheeked Barbet,0.8756,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
36.0,39.0,Psilopogon viridis,White-cheeked Barbet,0.9539,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
39.0,42.0,Psilopogon viridis,White-cheeked Barbet,0.9889,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
42.0,45.0,Psilopogon viridis,White-cheeked Barbet,0.9733,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
54.0,57.0,Psilopogon viridis,White-cheeked Barbet,0.9934,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
57.0,60.0,Psilopogon viridis,White-cheeked Barbet,0.9938,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
60.0,63.0,Psilopogon viridis,White-cheeked Barbet,0.9964,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
66.0,69.0,Psilopogon viridis,White-cheeked Barbet,0.9569,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
72.0,75.0,Psilopogon viridis,White-cheeked Barbet,0.9652,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
84.0,87.0,Psilopogon viridis,White-cheeked Barbet,0.9888,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
87.0,90.0,Psilopogon viridis,White-cheeked Barbet,0.9959,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
90.0,93.0,Psilopogon viridis,White-cheeked Barbet,0.9953,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
93.0,96.0,Psilopogon viridis,White-cheeked Barbet,0.8851,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
96.0,99.0,Psilopogon viridis,White-cheeked Barbet,0.9753,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
99.0,102.0,Psilopogon viridis,White-cheeked Barbet,0.9959,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
102.0,105.0,Psilopogon viridis,White-cheeked Barbet,0.9933,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
105.0,108.0,Psilopogon viridis,White-cheeked Barbet,0.9771,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
108.0,111.0,Psilopogon viridis,White-cheeked Barbet,0.9721,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
111.0,114.0,Psilopogon viridis,White-cheeked Barbet,0.9481,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
114.0,117.0,Psilopogon viridis,White-cheeked Barbet,0.9095,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
120.0,123.0,Psilopogon viridis,White-cheeked Barbet,0.7994,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
123.0,126.0,Psilopogon viridis,White-cheeked Barbet,0.9786,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
126.0,129.0,Psilopogon viridis,White-cheeked Barbet,0.9840,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
129.0,132.0,Psilopogon viridis,White-cheeked Barbet,0.9370,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
135.0,138.0,Psilopogon viridis,White-cheeked Barbet,0.9930,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
141.0,144.0,Psilopogon viridis,White-cheeked Barbet,0.9703,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
144.0,147.0,Psilopogon viridis,White-cheeked Barbet,0.9754,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
147.0,150.0,Psilopogon viridis,White-cheeked Barbet,0.9329,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
159.0,162.0,Psilopogon viridis,White-cheeked Barbet,0.9503,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
162.0,165.0,Psilopogon viridis,White-cheeked Barbet,0.8630,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
168.0,171.0,Psilopogon viridis,White-cheeked Barbet,0.9886,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
171.0,174.0,Psilopogon viridis,White-cheeked Barbet,0.9908,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
174.0,177.0,Psilopogon viridis,White-cheeked Barbet,0.8661,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
177.0,180.0,Psilopogon viridis,White-cheeked Barbet,0.9843,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.9801,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
183.0,186.0,Psilopogon viridis,White-cheeked Barbet,0.9866,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
186.0,189.0,Psilopogon viridis,White-cheeked Barbet,0.9421,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
189.0,192.0,Psilopogon viridis,White-cheeked Barbet,0.8812,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
192.0,195.0,Psilopogon viridis,White-cheeked Barbet,0.9861,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
195.0,198.0,Psilopogon viridis,White-cheeked Barbet,0.9327,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
198.0,201.0,Psilopogon viridis,White-cheeked Barbet,0.9908,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
201.0,204.0,Psilopogon viridis,White-cheeked Barbet,0.9918,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
204.0,207.0,Psilopogon viridis,White-cheeked Barbet,0.9798,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
207.0,210.0,Psilopogon viridis,White-cheeked Barbet,0.9833,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260404_070000.wav
