Start (s),End (s),Scientific name,Common name,Confidence,File
57.0,60.0,Psilopogon viridis,White-cheeked Barbet,0.7962,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
63.0,66.0,Psilopogon viridis,White-cheeked Barbet,0.7041,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
81.0,84.0,Psittacula columboides,Malabar Parakeet,0.9033,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
99.0,102.0,Dumetia hyperythra,Tawny-bellied Babbler,0.8704,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
105.0,108.0,Dumetia hyperythra,Tawny-bellied Babbler,0.8004,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
108.0,111.0,Dumetia hyperythra,Tawny-bellied Babbler,0.7954,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
114.0,117.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9925,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
126.0,129.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9956,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
129.0,132.0,Dumetia hyperythra,Tawny-bellied Babbler,0.8937,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
132.0,135.0,Dumetia hyperythra,Tawny-bellied Babbler,0.7902,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
138.0,141.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9516,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
144.0,147.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9726,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
177.0,180.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9873,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
183.0,186.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9065,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
234.0,237.0,Dumetia hyperythra,Tawny-bellied Babbler,0.8182,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
291.0,294.0,Psittacula columboides,Malabar Parakeet,0.7584,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
294.0,297.0,Dumetia hyperythra,Tawny-bellied Babbler,0.7408,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
297.0,300.0,Dumetia hyperythra,Tawny-bellied Babbler,0.9920,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_01\TST-7_20260403_173000.wav
