Start (s),End (s),Scientific name,Common name,Confidence,File
21.0,24.0,Psilopogon viridis,White-cheeked Barbet,0.8085,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
81.0,84.0,Psilopogon viridis,White-cheeked Barbet,0.8845,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
84.0,87.0,Psilopogon viridis,White-cheeked Barbet,0.9054,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
87.0,90.0,Psilopogon viridis,White-cheeked Barbet,0.8054,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
90.0,93.0,Psilopogon viridis,White-cheeked Barbet,0.7605,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
114.0,117.0,Psilopogon viridis,White-cheeked Barbet,0.8277,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
120.0,123.0,Psilopogon viridis,White-cheeked Barbet,0.8109,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
132.0,135.0,Oriolus xanthornus,Black-hooded Oriole,0.8145,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.8900,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
186.0,189.0,Psilopogon viridis,White-cheeked Barbet,0.7048,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
198.0,201.0,Psilopogon viridis,White-cheeked Barbet,0.7258,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
225.0,228.0,Psilopogon viridis,White-cheeked Barbet,0.7865,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
258.0,261.0,Psilopogon viridis,White-cheeked Barbet,0.7312,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
273.0,276.0,Psilopogon viridis,White-cheeked Barbet,0.7994,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260223_081500.wav
