Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Psilopogon viridis,White-cheeked Barbet,0.8667,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
93.0,96.0,Psilopogon viridis,White-cheeked Barbet,0.7562,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
96.0,99.0,Psilopogon viridis,White-cheeked Barbet,0.7088,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
126.0,129.0,Psilopogon viridis,White-cheeked Barbet,0.7795,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
162.0,165.0,Psilopogon viridis,White-cheeked Barbet,0.8132,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
189.0,192.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9802,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
192.0,195.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9972,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
195.0,198.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9751,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
198.0,201.0,Chrysocolaptes guttacristatus,Greater Flameback,0.8938,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
201.0,204.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9521,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
204.0,207.0,Chrysocolaptes guttacristatus,Greater Flameback,0.8611,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
213.0,216.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9764,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
216.0,219.0,Chrysocolaptes guttacristatus,Greater Flameback,0.8055,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
219.0,222.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9803,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
225.0,228.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9133,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
237.0,240.0,Psilopogon viridis,White-cheeked Barbet,0.7218,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
237.0,240.0,Chrysocolaptes guttacristatus,Greater Flameback,0.7132,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
243.0,246.0,Chrysocolaptes guttacristatus,Greater Flameback,0.8801,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
246.0,249.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9732,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
258.0,261.0,Psilopogon viridis,White-cheeked Barbet,0.7408,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
261.0,264.0,Chrysocolaptes guttacristatus,Greater Flameback,0.9277,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
264.0,267.0,Psilopogon viridis,White-cheeked Barbet,0.8250,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
270.0,273.0,Psilopogon viridis,White-cheeked Barbet,0.8099,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
291.0,294.0,Psilopogon viridis,White-cheeked Barbet,0.7486,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
294.0,297.0,Psilopogon viridis,White-cheeked Barbet,0.7189,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260214_080000.wav
