Start (s),End (s),Scientific name,Common name,Confidence,File
141.0,144.0,Psilopogon viridis,White-cheeked Barbet,0.7279,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
150.0,153.0,Psilopogon viridis,White-cheeked Barbet,0.8586,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
153.0,156.0,Psilopogon viridis,White-cheeked Barbet,0.7808,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
165.0,168.0,Psilopogon viridis,White-cheeked Barbet,0.8321,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
168.0,171.0,Psilopogon viridis,White-cheeked Barbet,0.8752,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
171.0,174.0,Psilopogon viridis,White-cheeked Barbet,0.7706,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
174.0,177.0,Psilopogon viridis,White-cheeked Barbet,0.9127,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
177.0,180.0,Psilopogon viridis,White-cheeked Barbet,0.8788,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.8059,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
183.0,186.0,Psilopogon viridis,White-cheeked Barbet,0.8171,D:\TST_DATA\ATR_01\LC\LC_02\Data\TST-11_20260222_163000.wav
