Start (s),End (s),Scientific name,Common name,Confidence,File
120.0,123.0,Cinnyris asiaticus,Purple Sunbird,0.8762,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
144.0,147.0,Phylloscopus trochiloides,Greenish Warbler,0.9598,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
150.0,153.0,Phylloscopus trochiloides,Greenish Warbler,0.9270,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
153.0,156.0,Phylloscopus trochiloides,Greenish Warbler,0.8148,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
156.0,159.0,Phylloscopus trochiloides,Greenish Warbler,0.9379,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
159.0,162.0,Phylloscopus trochiloides,Greenish Warbler,0.8947,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
162.0,165.0,Phylloscopus trochiloides,Greenish Warbler,0.8716,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
165.0,168.0,Phylloscopus trochiloides,Greenish Warbler,0.9264,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
168.0,171.0,Phylloscopus trochiloides,Greenish Warbler,0.9761,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
177.0,180.0,Phylloscopus trochiloides,Greenish Warbler,0.9158,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
180.0,183.0,Phylloscopus trochiloides,Greenish Warbler,0.9598,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
183.0,186.0,Phylloscopus trochiloides,Greenish Warbler,0.9390,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
186.0,189.0,Phylloscopus trochiloides,Greenish Warbler,0.9646,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
189.0,192.0,Phylloscopus trochiloides,Greenish Warbler,0.8510,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
192.0,195.0,Phylloscopus trochiloides,Greenish Warbler,0.8627,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
207.0,210.0,Phylloscopus trochiloides,Greenish Warbler,0.7191,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
225.0,228.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8389,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
273.0,276.0,Phylloscopus trochiloides,Greenish Warbler,0.7908,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
294.0,297.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7049,E:\TST_2_STR\Acoustic_Data_Raw\NLC\NLC_04\TST-5_20260328_074500.wav
