Start (s),End (s),Scientific name,Common name,Confidence,File
165.0,168.0,Psilopogon viridis,White-cheeked Barbet,0.9922,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
168.0,171.0,Psilopogon viridis,White-cheeked Barbet,0.9853,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
171.0,174.0,Psilopogon viridis,White-cheeked Barbet,0.9871,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
174.0,177.0,Psilopogon viridis,White-cheeked Barbet,0.9850,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.9092,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
183.0,186.0,Psilopogon viridis,White-cheeked Barbet,0.7077,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
186.0,189.0,Psilopogon viridis,White-cheeked Barbet,0.9068,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
189.0,192.0,Psilopogon viridis,White-cheeked Barbet,0.8031,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
216.0,219.0,Psilopogon viridis,White-cheeked Barbet,0.9379,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
219.0,222.0,Psilopogon viridis,White-cheeked Barbet,0.7546,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_173000.wav
