Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9852,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
18.0,21.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7247,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
30.0,33.0,Iole indica,Yellow-browed Bulbul,0.8426,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
36.0,39.0,Iole indica,Yellow-browed Bulbul,0.9575,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
39.0,42.0,Iole indica,Yellow-browed Bulbul,0.7921,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
42.0,45.0,Iole indica,Yellow-browed Bulbul,0.8670,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
48.0,51.0,Iole indica,Yellow-browed Bulbul,0.9150,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
51.0,54.0,Iole indica,Yellow-browed Bulbul,0.9893,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
54.0,57.0,Iole indica,Yellow-browed Bulbul,0.7339,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
66.0,69.0,Iole indica,Yellow-browed Bulbul,0.8923,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
69.0,72.0,Iole indica,Yellow-browed Bulbul,0.7091,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
72.0,75.0,Iole indica,Yellow-browed Bulbul,0.7779,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
108.0,111.0,Iole indica,Yellow-browed Bulbul,0.7663,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
111.0,114.0,Iole indica,Yellow-browed Bulbul,0.9552,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
114.0,117.0,Iole indica,Yellow-browed Bulbul,0.9762,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
117.0,120.0,Iole indica,Yellow-browed Bulbul,0.9633,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
126.0,129.0,Iole indica,Yellow-browed Bulbul,0.7876,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
129.0,132.0,Iole indica,Yellow-browed Bulbul,0.9921,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
132.0,135.0,Iole indica,Yellow-browed Bulbul,0.9657,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
135.0,138.0,Iole indica,Yellow-browed Bulbul,0.9333,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
138.0,141.0,Iole indica,Yellow-browed Bulbul,0.9614,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
141.0,144.0,Iole indica,Yellow-browed Bulbul,0.7502,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
147.0,150.0,Iole indica,Yellow-browed Bulbul,0.9655,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
153.0,156.0,Iole indica,Yellow-browed Bulbul,0.9724,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
159.0,162.0,Iole indica,Yellow-browed Bulbul,0.8782,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
168.0,171.0,Psilopogon viridis,White-cheeked Barbet,0.9614,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
171.0,174.0,Psilopogon viridis,White-cheeked Barbet,0.9479,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
174.0,177.0,Psilopogon viridis,White-cheeked Barbet,0.9890,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
177.0,180.0,Psilopogon viridis,White-cheeked Barbet,0.9761,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
180.0,183.0,Psilopogon viridis,White-cheeked Barbet,0.9682,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
189.0,192.0,Iole indica,Yellow-browed Bulbul,0.9291,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
237.0,240.0,Iole indica,Yellow-browed Bulbul,0.8481,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
252.0,255.0,Iole indica,Yellow-browed Bulbul,0.8401,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260329_083000.wav
