Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7715,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
27.0,30.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9513,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
48.0,51.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7715,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
57.0,60.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9121,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
66.0,69.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.8694,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
72.0,75.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.8665,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
81.0,84.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.8563,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
84.0,87.0,Pericrocotus flammeus,Orange Minivet,0.7159,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
99.0,102.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9054,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
120.0,123.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9773,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
132.0,135.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9240,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
138.0,141.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9452,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
144.0,147.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9070,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
150.0,153.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8163,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
165.0,168.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7826,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
171.0,174.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7811,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
183.0,186.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7518,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
189.0,192.0,Pericrocotus flammeus,Orange Minivet,0.7729,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
195.0,198.0,Pericrocotus flammeus,Orange Minivet,0.7413,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
198.0,201.0,Pericrocotus flammeus,Orange Minivet,0.9521,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
204.0,207.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.8128,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
210.0,213.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.9496,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
213.0,216.0,Pericrocotus flammeus,Orange Minivet,0.7878,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
228.0,231.0,Psilopogon viridis,White-cheeked Barbet,0.9518,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
234.0,237.0,Psilopogon viridis,White-cheeked Barbet,0.9103,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
237.0,240.0,Psilopogon viridis,White-cheeked Barbet,0.8826,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
243.0,246.0,Psilopogon viridis,White-cheeked Barbet,0.9194,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
246.0,249.0,Psilopogon viridis,White-cheeked Barbet,0.9116,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
249.0,252.0,Psilopogon viridis,White-cheeked Barbet,0.8157,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
258.0,261.0,Pericrocotus flammeus,Orange Minivet,0.8470,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
267.0,270.0,Pericrocotus flammeus,Orange Minivet,0.9365,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
276.0,279.0,Psilopogon viridis,White-cheeked Barbet,0.7040,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
288.0,291.0,Pericrocotus flammeus,Orange Minivet,0.7125,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260402_074500.wav
