Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8545,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
21.0,24.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7578,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
30.0,33.0,Gallus sonneratii,Gray Junglefowl,0.9398,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
33.0,36.0,Gallus sonneratii,Gray Junglefowl,0.7007,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
75.0,78.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8989,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
99.0,102.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7072,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
114.0,117.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9063,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
126.0,129.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8634,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
132.0,135.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9430,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
135.0,138.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8443,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
138.0,141.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7235,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
153.0,156.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7649,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
165.0,168.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7565,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
171.0,174.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.8542,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
177.0,180.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7407,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
192.0,195.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8794,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
201.0,204.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.8272,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
204.0,207.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7230,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
210.0,213.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.7986,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
213.0,216.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7990,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
216.0,219.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8289,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
225.0,228.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9530,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
231.0,234.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8956,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
234.0,237.0,Cyornis tickelliae,Tickell's Blue Flycatcher,0.7472,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
246.0,249.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9071,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
252.0,255.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.9204,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
267.0,270.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8811,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
279.0,282.0,Pericrocotus flammeus,Orange Minivet,0.7132,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
282.0,285.0,Pomatorhinus horsfieldii,Indian Scimitar-Babbler,0.8851,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
294.0,297.0,Psilopogon viridis,White-cheeked Barbet,0.8122,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_05\TST-15_20260330_074500.wav
