Start (s),End (s),Scientific name,Common name,Confidence,File
156.0,159.0,Nisaetus cirrhatus,Changeable Hawk-Eagle,0.7947,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
165.0,168.0,Psilopogon viridis,White-cheeked Barbet,0.7238,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
168.0,171.0,Psilopogon viridis,White-cheeked Barbet,0.7584,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
174.0,177.0,Pycnonotus luteolus,White-browed Bulbul,0.7972,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
183.0,186.0,Psilopogon viridis,White-cheeked Barbet,0.9742,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
186.0,189.0,Psilopogon viridis,White-cheeked Barbet,0.9568,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
189.0,192.0,Psilopogon viridis,White-cheeked Barbet,0.9536,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
213.0,216.0,Halcyon smyrnensis,White-throated Kingfisher,0.9425,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
219.0,222.0,Halcyon smyrnensis,White-throated Kingfisher,0.8937,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
225.0,228.0,Halcyon smyrnensis,White-throated Kingfisher,0.9926,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
228.0,231.0,Halcyon smyrnensis,White-throated Kingfisher,0.9908,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
237.0,240.0,Halcyon smyrnensis,White-throated Kingfisher,0.8305,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
240.0,243.0,Halcyon smyrnensis,White-throated Kingfisher,0.9972,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
249.0,252.0,Halcyon smyrnensis,White-throated Kingfisher,0.9851,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
258.0,261.0,Halcyon smyrnensis,White-throated Kingfisher,0.9900,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
261.0,264.0,Halcyon smyrnensis,White-throated Kingfisher,0.8839,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
264.0,267.0,Halcyon smyrnensis,White-throated Kingfisher,0.9181,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
270.0,273.0,Halcyon smyrnensis,White-throated Kingfisher,0.9862,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
273.0,276.0,Halcyon smyrnensis,White-throated Kingfisher,0.9708,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
276.0,279.0,Halcyon smyrnensis,White-throated Kingfisher,0.9564,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
279.0,282.0,Halcyon smyrnensis,White-throated Kingfisher,0.9536,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
288.0,291.0,Halcyon smyrnensis,White-throated Kingfisher,0.9666,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
297.0,300.0,Halcyon smyrnensis,White-throated Kingfisher,0.9259,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_081500.wav
