Start (s),End (s),Scientific name,Common name,Confidence,File
126.0,129.0,Oriolus xanthornus,Black-hooded Oriole,0.9778,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
132.0,135.0,Oriolus xanthornus,Black-hooded Oriole,0.9761,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
135.0,138.0,Oriolus xanthornus,Black-hooded Oriole,0.7728,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
141.0,144.0,Oriolus xanthornus,Black-hooded Oriole,0.7025,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
195.0,198.0,Oriolus xanthornus,Black-hooded Oriole,0.9234,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
201.0,204.0,Oriolus xanthornus,Black-hooded Oriole,0.9305,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
204.0,207.0,Oriolus xanthornus,Black-hooded Oriole,0.9432,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
222.0,225.0,Oriolus xanthornus,Black-hooded Oriole,0.7856,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
231.0,234.0,Oriolus xanthornus,Black-hooded Oriole,0.8042,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
234.0,237.0,Oriolus xanthornus,Black-hooded Oriole,0.7313,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
279.0,282.0,Oriolus xanthornus,Black-hooded Oriole,0.9860,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
285.0,288.0,Oriolus xanthornus,Black-hooded Oriole,0.9843,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
291.0,294.0,Oriolus xanthornus,Black-hooded Oriole,0.9969,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
297.0,300.0,Oriolus xanthornus,Black-hooded Oriole,0.9964,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260220_164500.wav
