Start (s),End (s),Scientific name,Common name,Confidence,File
3.0,6.0,Pellorneum ruficeps,Puff-throated Babbler,0.7999,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
18.0,21.0,Pellorneum ruficeps,Puff-throated Babbler,0.8422,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
54.0,57.0,Pellorneum ruficeps,Puff-throated Babbler,0.9592,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
87.0,90.0,Halcyon smyrnensis,White-throated Kingfisher,0.8316,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
93.0,96.0,Halcyon smyrnensis,White-throated Kingfisher,0.8173,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
168.0,171.0,Tephrodornis sylvicola,Malabar Woodshrike,0.7343,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
276.0,279.0,Psittacula cyanocephala,Plum-headed Parakeet,0.8376,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
291.0,294.0,Psittacula cyanocephala,Plum-headed Parakeet,0.7024,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
294.0,297.0,Psilopogon viridis,White-cheeked Barbet,0.9099,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
297.0,300.0,Psilopogon viridis,White-cheeked Barbet,0.9200,D:\TST_DATA\ATR_01\LNC\LNC_02____\audio_trimmed\TST-12_20260223_070000.wav
