Start (s),End (s),Scientific name,Common name,Confidence,File
0.0,3.0,Streptopelia chinensis,Spotted Dove,0.8158,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
6.0,9.0,Streptopelia chinensis,Spotted Dove,0.8552,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
12.0,15.0,Streptopelia chinensis,Spotted Dove,0.7954,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
21.0,24.0,Streptopelia chinensis,Spotted Dove,0.8117,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
33.0,36.0,Streptopelia chinensis,Spotted Dove,0.7760,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
39.0,42.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7867,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
66.0,69.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8023,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
105.0,108.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7788,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
111.0,114.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.8322,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
114.0,117.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.9089,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
177.0,180.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7050,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
222.0,225.0,Pycnonotus jocosus,Red-whiskered Bulbul,0.7529,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260217_164500.wav
