Start (s),End (s),Scientific name,Common name,Confidence,File
6.0,9.0,Zosterops palpebrosus,Indian White-eye,0.8180,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
18.0,21.0,Zosterops palpebrosus,Indian White-eye,0.9260,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
24.0,27.0,Gallus sonneratii,Gray Junglefowl,0.9799,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
27.0,30.0,Pycnonotus luteolus,White-browed Bulbul,0.9330,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
30.0,33.0,Pycnonotus luteolus,White-browed Bulbul,0.7479,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
33.0,36.0,Zosterops palpebrosus,Indian White-eye,0.8116,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
36.0,39.0,Zosterops palpebrosus,Indian White-eye,0.8561,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
39.0,42.0,Gallus sonneratii,Gray Junglefowl,0.8989,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
39.0,42.0,Zosterops palpebrosus,Indian White-eye,0.7730,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
54.0,57.0,Zosterops palpebrosus,Indian White-eye,0.9192,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
54.0,57.0,Gallus sonneratii,Gray Junglefowl,0.8078,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
60.0,63.0,Zosterops palpebrosus,Indian White-eye,0.7200,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
69.0,72.0,Zosterops palpebrosus,Indian White-eye,0.9304,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
72.0,75.0,Gallus sonneratii,Gray Junglefowl,0.9920,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
75.0,78.0,Gallus sonneratii,Gray Junglefowl,0.9970,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
84.0,87.0,Zosterops palpebrosus,Indian White-eye,0.8491,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
84.0,87.0,Gallus sonneratii,Gray Junglefowl,0.7582,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
87.0,90.0,Zosterops palpebrosus,Indian White-eye,0.9510,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
90.0,93.0,Gallus sonneratii,Gray Junglefowl,0.9988,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
93.0,96.0,Zosterops palpebrosus,Indian White-eye,0.9244,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
102.0,105.0,Pycnonotus luteolus,White-browed Bulbul,0.9176,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
108.0,111.0,Galloperdix spadicea,Red Spurfowl,0.7791,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
108.0,111.0,Zosterops palpebrosus,Indian White-eye,0.7577,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
111.0,114.0,Galloperdix spadicea,Red Spurfowl,0.8423,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
114.0,117.0,Zosterops palpebrosus,Indian White-eye,0.9335,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
123.0,126.0,Pycnonotus luteolus,White-browed Bulbul,0.9637,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
132.0,135.0,Zosterops palpebrosus,Indian White-eye,0.7919,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
180.0,183.0,Gallus sonneratii,Gray Junglefowl,0.7060,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
195.0,198.0,Gallus sonneratii,Gray Junglefowl,0.8464,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
216.0,219.0,Galloperdix spadicea,Red Spurfowl,0.8012,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
261.0,264.0,Gallus sonneratii,Gray Junglefowl,0.7406,D:\TST_DATA\STR_01\STR\NLC_03\rec_6\Data\TST-6_20260219_063000.wav
