Start (s),End (s),Scientific name,Common name,Confidence,File
15.0,18.0,Gallus sonneratii,Gray Junglefowl,0.9161,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
51.0,54.0,Dendrocitta vagabunda,Rufous Treepie,0.9260,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
72.0,75.0,Gallus sonneratii,Gray Junglefowl,0.7484,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
126.0,129.0,Gallus sonneratii,Gray Junglefowl,0.9347,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
129.0,132.0,Gallus sonneratii,Gray Junglefowl,0.9180,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
141.0,144.0,Gallus sonneratii,Gray Junglefowl,0.9580,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
159.0,162.0,Gallus sonneratii,Gray Junglefowl,0.7417,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
195.0,198.0,Gallus sonneratii,Gray Junglefowl,0.9002,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
225.0,228.0,Gallus sonneratii,Gray Junglefowl,0.9051,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
237.0,240.0,Gallus sonneratii,Gray Junglefowl,0.7258,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
261.0,264.0,Gallus sonneratii,Gray Junglefowl,0.9461,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260329_174500.wav
