Start (s),End (s),Scientific name,Common name,Confidence,File
84.0,87.0,Psittacula columboides,Malabar Parakeet,0.9597,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
87.0,90.0,Psittacula columboides,Malabar Parakeet,0.9093,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
90.0,93.0,Psittacula columboides,Malabar Parakeet,0.9951,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
93.0,96.0,Psittacula columboides,Malabar Parakeet,0.9305,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
99.0,102.0,Psittacula columboides,Malabar Parakeet,0.9069,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
102.0,105.0,Psittacula columboides,Malabar Parakeet,0.9551,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
105.0,108.0,Psittacula columboides,Malabar Parakeet,0.9935,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
108.0,111.0,Psittacula columboides,Malabar Parakeet,0.9985,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
117.0,120.0,Psittacula columboides,Malabar Parakeet,0.9646,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
123.0,126.0,Gallus sonneratii,Gray Junglefowl,0.8315,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
147.0,150.0,Gallus sonneratii,Gray Junglefowl,0.8068,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
150.0,153.0,Psilopogon viridis,White-cheeked Barbet,0.7909,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
159.0,162.0,Psittacula columboides,Malabar Parakeet,0.9192,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
162.0,165.0,Psittacula columboides,Malabar Parakeet,0.7639,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
171.0,174.0,Gallus sonneratii,Gray Junglefowl,0.8922,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
189.0,192.0,Gallus sonneratii,Gray Junglefowl,0.9911,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
201.0,204.0,Gallus sonneratii,Gray Junglefowl,0.9782,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
204.0,207.0,Gallus sonneratii,Gray Junglefowl,0.9739,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
210.0,213.0,Gallus sonneratii,Gray Junglefowl,0.8352,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
216.0,219.0,Gallus sonneratii,Gray Junglefowl,0.9494,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
228.0,231.0,Gallus sonneratii,Gray Junglefowl,0.9991,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
249.0,252.0,Gallus sonneratii,Gray Junglefowl,0.9106,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
252.0,255.0,Gallus sonneratii,Gray Junglefowl,0.9594,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
261.0,264.0,Gallus sonneratii,Gray Junglefowl,0.9908,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
267.0,270.0,Gallus sonneratii,Gray Junglefowl,0.9360,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
273.0,276.0,Gallus sonneratii,Gray Junglefowl,0.9639,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
276.0,279.0,Gallus sonneratii,Gray Junglefowl,0.8193,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
285.0,288.0,Gallus sonneratii,Gray Junglefowl,0.9624,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
297.0,300.0,Gallus sonneratii,Gray Junglefowl,0.9946,E:\TST_2_STR\Acoustic_Data_Raw\LC\LC_02\TST-8_20260404_181500.wav
